Number of Buildings,Building Name,X,Y
1,Science & Engineering Classroom Building (SEC 105),29.7237384,-95.3453009
2,Science and Research 1,29.7226705,-95.3450538
3,Science and Research 2,29.72374,-95.3450258
4,Agnes Arnold Hall,29.7221257,-95.3440745
5,Agnes Arnold Auditorium,29.722485,-95.3439333
6,Graduate College of Social Work,29.7227346,-95.3438379
7,Philip Guthrie Hoffman Hall,29.7215626,-95.3436278
8,Technology Annex,29.7225764,-95.3431086
9,College of Technology,29.7233165,-95.3426471
10,Science Building,29.721472,-95.3444812
11,Lamar Fleming,29.7216126,-95.3457797
12,Science Teaching Laboratory Building,29.7217413,-95.3465766
13,Charles F. McElhinney Hall,29.7211884,-95.3463007
14,Fred J. Heyne,29.7205173,-95.3461482
15,Roy G. Cullen,29.720123,-95.3447752
16,Ezekiel W. Cullen,29.7204262,-95.3438134
17,Stephen Power Farish Hall,29.7209729,-95.3450941
18,M.D Anderson Library,29.7210345,-95.3426496
19,Central Power Plant,29.7221216,-95.3420521
20,Sudent Center North,29.7206588,-95.3407791
21,Student Center South,29.720015,-95.3410593
22,Conrad N. Hilton College of Global Hospitality Leadership,29.7193072,-95.3413211
23,Visitor Information Booth 1,29.7193333,-95.3402617
24,Cullen College of Engineering 1,29.7229759,-95.3416759
25,Cullen College of Engineering 2,29.7233323,-95.3411237
26,Engineering Lecture Hall,29.7226926,-95.3408213
27,Durga and Sushila Argrawal Engineering Research,29.7222087,-95.3397947
28,Michael J. Cemo Hall,29.7217541,-95.3400119
29,Classroom and Business Building,29.7217344,-95.3409179
30,LeRoy & Lucile Melcher Hall,29.7210647,-95.3398822
31,John M. O'Quinn Law Library,29.7231958,-95.3386322
32,University of Houston Law Center,29.7238762,-95.3385035
33,Gerald D. Hines College of Architecture and Design,29.7242445,-95.3416015
34,Blaffer Art Museum,29.7249899,-95.3422375
35,UH School of Art,29.7244166,-95.3424494
36,Jack J. Valenti School of Communication,29.7240351,-95.343768
37,Cynthia Woods Mitchell Center for the Arts,29.724584,-95.3438086
38,Moores School of Music,29.7254492,-95.3442273
39,Moores Opera House,29.7254499,-95.3442279
40,Greenhouse,29.7231087,-95.3448654